service_type,quality_element
Food Distribution,Family Engagement & Support
Drug and Alcohol Prevention,Health & Wellness
Drug and Alcohol Prevention,Academic & Social Emotional Learning
Drug and Alcohol Prevention,Youth leadership
Drug and Alcohol Prevention,Expanded Learning
Gardening,Health & Wellness
Gardening,Academic & Social Emotional Learning
Gardening,Expanded Learning
Attendance Interventions,Academic & Social Emotional Learning
Attendance Interventions,School Culture & Climate
Attendance Interventions,Expanded Learning
Attendance Interventions,Family Engagement & Support
Manhood/Womanhood Development,Academic & Social Emotional Learning
Manhood/Womanhood Development,Expanded Learning
Manhood/Womanhood Development,School Culture & Climate
Manhood/Womanhood Development,School Readiness & Transitions
Saturday School,Academic & Social Emotional Learning
Saturday School,Expanded Learning
Violence Prevention,Academic & Social Emotional Learning
Violence Prevention,Expanded Learning
Violence Prevention,Health & Wellness
Violence Prevention,Youth leadership
Violence Prevention,School Culture & Climate
Linked Learning,Academic & Social Emotional Learning
Linked Learning,School Readiness & Transitions
Linked Learning,Youth leadership
Credit Recovery,Academic & Social Emotional Learning
Credit Recovery,School Readiness & Transitions
Credit Recovery,Expanded Learning
Summer Enrichment,Expanded Learning
Summer Enrichment,Academic & Social Emotional Learning
Summer Enrichment,Health & Wellness
Summer Enrichment,Family Engagement & Support
Summer Enrichment,Youth leadership
