data_date,county_code,district_code,school_code,direct_funded_charter_school_number,provision_two_three_school,data_source,county_name,lea_name,school_name,low_grade,high_grade,enrollment_k_12,free_meal_count_k_12,percent_eligible_free_k_12,frpm_total_undup_count_k_12,frpm_percent_eligible_k_12,enrollment_5_17,free_meal_count_5_17,percent_eligible_5_17,frpm_total_undup_count_5_17,frpm_percent_eligible_5_17
2012-10-01,01,61259,0115592,1442,Y,NSD,Alameda        ,Oakland Unified,Learning Without Limits,KK,05,380,NULL,84.83,NULL,90.49,372,NULL,84.83,NULL,90.49
2012-10-01,01,61259,0115600,    ,N,CALPADS,Alameda        ,Oakland Unified,East Oakland Pride Elementary,KK,05,472,472,100,472,100,467,467,100,467,100
2012-10-01,01,61259,0115618,    ,N,CALPADS,Alameda        ,Oakland Unified,Greenleaf Elementary,PP,08,501,501,100,501,100,479,479,100,479,100
2012-10-01,01,61259,0115626,    ,Y,NSD,Alameda        ,Oakland Unified,West Oakland Middle,06,08,179,NULL,78.8,NULL,85.33,179,NULL,78.8,NULL,85.33
2012-10-01,01,61259,0115667,    ,Y,NSD,Alameda        ,Oakland Unified,Oakland International High,09,12,325,NULL,72.73,NULL,93.94,214,NULL,72.73,NULL,93.94
2012-10-01,01,61259,0116137,0955,N,CALPADS,Alameda        ,Oakland Unified,East Oakland Leadership Academy High,09,12,55,10,18.18,10,18.18,53,10,18.87,10,18.87
2012-10-01,01,61259,0118224,1023,N,CALPADS,Alameda        ,Oakland Unified,Aspire Golden State College Preparatory Academy,06,12,480,382,79.58,416,86.67,475,378,79.58,411,86.53
2012-10-01,01,61259,0118653,    ,N,CALPADS,Alameda        ,Oakland Unified,Ralph J. Bunche High,09,12,145,112,77.24,120,82.76,70,51,72.86,55,78.57
2012-10-01,01,61259,0119859,    ,Y,NSD,Alameda        ,Oakland Unified,Gateway to College at Laney College,09,12,74,NULL,29.63,NULL,30.86,21,NULL,29.63,NULL,30.86
2012-10-01,01,61259,0120188,1115,N,CALPADS,Alameda        ,Oakland Unified,Aspire ERES Academy,KK,08,222,200,90.09,212,95.5,219,198,90.41,210,95.89
2012-10-01,01,61259,0121210,    ,N,CALPADS,Alameda        ,Oakland Unified,Infant and Preschool Program,PP,PP,23,4,17.39,4,17.39,13,3,23.08,3,23.08
2012-10-01,01,61259,0121228,    ,N,CALPADS,Alameda        ,Oakland Unified,Young Adult Program,Ad,Ad,0,0,0,0,0,1,0,0,0,0
2012-10-01,01,61259,0121376,    ,N,CALPADS,Alameda        ,Oakland Unified,Home and Hospital Program,KK,12,8,0,0,0,0,7,0,0,0,0
2012-10-01,01,61259,0123711,1271,N,CALPADS,Alameda        ,Oakland Unified,Vincent Academy,KK,05,101,85,84.16,88,87.13,95,80,84.21,83,87.37
2012-10-01,01,61259,0125161,    ,N,CALPADS,Alameda        ,Oakland Unified,Castlemont High,09,12,641,509,79.41,531,82.84,609,487,79.97,509,83.58
2012-10-01,01,61259,0125716,    ,Y,NSD,Alameda        ,Oakland Unified,Fremont High,09,12,795,NULL,84.15,NULL,87.84,736,NULL,84.15,NULL,87.84
2012-10-01,01,61259,0125856,1399,N,CALPADS,Alameda        ,Oakland Unified,100 Black Men of the Bay Area Community,KK,12,87,18,20.69,18,20.69,82,18,21.95,18,21.95
2012-10-01,01,61259,0126748,1449,N,CALPADS,Alameda        ,Oakland Unified,LPS Oakland R & D Campus,09,12,176,176,100,176,100,175,175,100,175,100
2012-10-01,01,61259,0130146,    ,Y,NSD,Alameda        ,Oakland Unified,Rudsdale Continuation,09,12,148,NULL,63.04,NULL,67.59,73,NULL,63.04,NULL,67.59
2012-10-01,01,61259,0130179,    ,N,CALPADS,Alameda        ,Oakland Unified,Street Academy (Alternative),09,12,103,64,62.14,73,70.87,94,61,64.89,68,72.34
2012-10-01,01,61259,0130575,    ,N,CALPADS,Alameda        ,Oakland Unified,LIFE Academy,06,12,338,338,100,338,100,322,322,100,322,100
2012-10-01,01,61259,0130617,0349,N,CALPADS,Alameda        ,Oakland Unified,"Oakland Military Institute, College Preparatory Ac",06,12,724,417,57.6,486,67.13,710,404,56.9,473,66.62
2012-10-01,01,61259,0130633,0413,N,CALPADS,Alameda        ,Oakland Unified,Lighthouse Community Charter,KK,08,492,297,60.37,331,67.28,486,293,60.29,327,67.28
2012-10-01,01,61259,0130666,0465,N,CALPADS,Alameda        ,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,06,12,501,432,86.23,474,94.61,492,424,86.18,466,94.72
2012-10-01,01,61259,0132688,    ,N,CALPADS,Alameda        ,Oakland Unified,Dewey Academy,09,12,228,170,74.56,190,83.33,87,69,79.31,76,87.36
2012-10-01,01,61259,0135905,    ,Y,NSD,Alameda        ,Oakland Unified,Oakland High,09,12,1601,NULL,75.78,NULL,83.26,1519,NULL,75.78,NULL,83.26
2012-10-01,01,61259,0136051,    ,N,CALPADS,Alameda        ,Oakland Unified,Oakland Technical High,09,12,1987,873,43.94,1017,51.18,1929,840,43.55,983,50.96
2012-10-01,01,61259,0137943,    ,N,CALPADS,Alameda        ,Oakland Unified,Skyline High,09,12,1798,1048,58.29,1213,67.46,1731,1009,58.29,1169,67.53
2012-10-01,01,61259,3030772,0340,N,CALPADS,Alameda        ,Oakland Unified,Oakland School for the Arts,09,12,619,96,15.51,109,17.61,605,93,15.37,105,17.36
2012-10-01,01,61259,6001630,    ,Y,NSD,Alameda        ,Oakland Unified,Allendale Elementary,KK,05,425,NULL,79.91,NULL,89.02,401,NULL,79.91,NULL,89.02
2012-10-01,01,61259,6001648,    ,N,CALPADS,Alameda        ,Oakland Unified,Chabot Elementary,KK,05,578,43,7.44,54,9.34,576,43,7.47,54,9.38
2012-10-01,01,61259,6001655,    ,Y,NSD,Alameda        ,Oakland Unified,Bella Vista Elementary,KK,05,525,NULL,75.33,NULL,88.14,517,NULL,75.33,NULL,88.14
2012-10-01,01,61259,6001663,    ,N,CALPADS,Alameda        ,Oakland Unified,Brookfield Elementary,KK,05,367,243,66.21,260,70.84,364,241,66.21,258,70.88
2012-10-01,01,61259,6001689,    ,N,CALPADS,Alameda        ,Oakland Unified,Burckhalter Elementary,KK,05,298,214,71.81,224,75.17,295,211,71.53,221,74.92
