id,site_code,state_cde_code,name,area_network_id,network,net_cluster,campus_name,site_type,site_type_norm,address,city,zip_code,grades_served,low_grade,high_grade,region,lat,lng,direct_funded_charter_school
94,840,X000007,Hintil Childhood Development Center,2,,,,Childhood Development Centers,CDC,11850 Campus Drive,Oakland,94619,,,,6,-122.168,37.7899,0
95,809,X000008,International Childhood Development Center,2,,,,Childhood Development Centers,CDC,2825 International Blvd,Oakland,94601,,,,6,-122.231,37.7794,0
96,823,X000009,Lockwood Childhood Development Center,2,,,,Childhood Development Centers,CDC,1125 - 69th Avenue,Oakland,94621,,,,6,-122.192,37.7597,0
97,819,X000010,Centro Infantil Childhood Development Center,3,,,,Childhood Development Centers,CDC,2660 East 16h Street,Oakland,94601,,,,6,-122.229,37.7829,0
98,817,X000011,Jefferson Childhood Development Center,3,,,,Childhood Development Centers,CDC,1975 - 40th Avenue,Oakland,94601,,,,6,-122.214,37.7786,0
99,820,X000012,Laurel Childhood Development Center,3,,,,Childhood Development Centers,CDC,3825 California Street,Oakland,94619,,,,6,-122.195,37.7934,0
100,829,X000013,Manzanita Childhood Development Center,3,,,,Childhood Development Centers,CDC,2618 Grande Vista Ave.,Oakland,94601,,,,6,-122.226,37.7919,0
101,838,X000014,Stonehurst Childhood Development Center,3,,,,Childhood Development Centers,CDC,901 - 105th Avenue,Oakland,94603,,,,6,-122.175,37.7358,0
102,861,X000015,Acorn Woodland State PreK ,6,,,,Childhood Development Centers,CDC,1025 - 81st Avenue,Oakland,94621,,,,6,-122.187,37.7524,0
103,860,X000016,Allendale State PreK ,6,,,,Childhood Development Centers,CDC,3670 Penniman Ave.,Oakland,94619,,,,6,-122.205,37.7886,0
104,863,X000017,Bridges State PreK,6,,,,Childhood Development Centers,CDC,1325 - 53rd Avenue,Oakland,94601,,,,6,-122.207,37.7675,0
105,806,X000018,Brookfield State PreK,6,,,,Childhood Development Centers,CDC,401 Jones Avenue,Oakland,94603,,,,6,-122.189,37.7349,0
106,803,X000019,Burbank,6,,,,Childhood Development Centers,CDC,3550 64th Avenue,Oakland,94605,,,,6,-122.177,37.7753,0
107,807,X000020,Cox (Reach) State PreK,6,,,,Childhood Development Centers,CDC,9860 Sunnyside Street,Oakland,94603,,,,6,-122.161,37.7465,0
108,827,X000021,CUES State PreK ,6,,,,Childhood Development Centers,CDC,6701 International Blvd,Oakland,94621,,,,6,-122.192,37.7609,0
109,862,X000022,Fruitvale State PreK,6,,,,Childhood Development Centers,CDC,3200 Boston Avenue,Oakland,94602,,,,6,-122.214,37.7963,0
110,808,X000023,Garfield State PreK,6,,,,Childhood Development Centers,CDC,1640 - 22nd Avenue,Oakland,94606,,,,6,-122.235,37.7864,0
111,816,X000024,Howard State PreK,6,,,,Childhood Development Centers,CDC,8755 Fontaine Street,Oakland,94605,,,,6,-122.152,37.7622,0
112,822,X000025,MLK State PreK,6,,,,Childhood Development Centers,CDC,960 - 10th Street,Oakland,94607,,,,6,-122.283,37.806,0
113,830,X000026,Prescott Childhood Development Center,6,,,,Childhood Development Centers,CDC,920 Campbell Street,Oakland,94607,,,,6,-122.298,37.8085,0
114,864,X000027,Sankofa State PreK,6,,,,Childhood Development Centers,CDC,581 - 61st Street,Oakland,94609,,,,6,-122.265,37.8469,0
115,846,X000028,Sequoia School Age,6,,,,Childhood Development Centers,CDC,3730 Lincoln Avenue,Oakland,94602,,,,6,-122.211,37.8024,0
